ID	STANDARD_VALUE
760677	10000.0
876634	5011.87
29860	*
762213	3162.28
688752	1258.93
251088	*
753840	*
749763	12589.25
869283	15848.93
249414	39810.72
934023	25118.86
1121213	*
955651	*
822494	*
789369	*
913088	562.34
774523	*
918749	*
1797905	*
873754	*
1005896	14125.38
738956	*
1121215	*
1121194	*
993859	39810.72
931447	12589.25
928124	3981.07
787981	*
798335	*
792910	*
233590	*
804695	*
779254	*
900114	25118.86
58089	3981.07
1002563	28183.83
902425	*
906173	*
740094	25118.86
930620	7079.46
308201	*
421336	*
1121250	*
7736	*
732275	*
769067	*
824159	6309.57
16651	630.96
827915	3548.13
995523	*
826751	*
940671	1258.93
861942	28183.83
898811	1995.26
1015428	31622.78
914693	25118.86
795431	1000000000.0
974773	3981.07
924083	12589.25
795654	3162.28
1703347	1412.54
742481	*
818822	*
984648	3981.07
1013961	1000.0
873910	19952.62
782947	*
1023632	*
985588	*
860141	*
859550	*
1120565	*
881692	5011.87
69368	*
838880	*
28466	15848.93
966488	14125.38
724899	31622.78
924402	35481.34
1698110	12589.25
861597	12589.25
946651	14125.38
1013763	6309.57
987703	39810.72
942368	17782.79
941071	31622.78
1010148	19952.62
865775	7943.28
854263	1000.0
897809	15848.93
460976	398.11
866184	1122.02
755864	1000.0
1023006	*
704761	*
1000667	*
954329	3162.28
860424	15848.93
926420	7079.46
938491	*
1008326	*
766975	35481.34
790552	*
754989	3981.07
764456	*
769661	*
1120867	*
1700495	39810.72
1013219	*
738781	*
458912	*
776771	*
1286667	10000.0
794640	630.96
910728	*
175138	39810.72
787757	10000.0
840310	*
48898	*
1797581	*
872754	1412.54
958835	*
834427	*
1121103	14125.38
1003660	*
611752	*
890561	15848.93
859586	10000.0
761468	*
92829	7943.28
273	10000.0
990820	15848.93
56779	15848.93
1115575	*
1097148	3981.07
801185	*
883744	7943.28
818417	7943.28
734168	10000.0
784774	*
726376	14125.38
1323808	1122.02
242993	*
937044	*
828768	7943.28
988429	15848.93
37245	3981.07
891111	22387.21
870160	*
421046	3162.28
941636	*
1103348	*
761425	12589.25
825423	15848.93
38856	*
834929	3162.28
1114942	*
242993	*
1027329	31622.78
793150	*
1001071	15848.93
40747	*
756230	1258.93
980932	*
1008243	*
871129	14125.38
846680	3548.13
927411	*
255347	*
460691	79.43
914210	*
933221	1995.26
948404	630.96
821730	*
877129	*
1082594	*
742331	25118.86
900613	*
884806	14125.38
820055	*
775463	25118.86
990329	*
789954	*
838877	*
132234	*
861716	*
460695	125.89
996479	3548.13
949175	31622.78
6358	1258.93
413185	1584.89
684978	12589.25
758943	3981.07
524427	*
1120418	*
378218	2511.89
41370	*
837180	14125.38
1120666	15848.93
1120973	*
778480	25118.86
1083545	15848.93
771713	4466.84
785033	12589.25
832587	15848.93
778133	*
1686621	3548.13
911202	*
856535	*
757285	*
802975	*
738683	2511.89
111482	*
11177	12589.25
31911	*
158327	*
954389	19952.62
767516	28183.83
976056	3162.28
981451	14125.38
1035102	10000.0
971770	446.68
802130	17782.79
834939	*
1005412	*
980585	*
1683685	2238.72
1009934	*
838546	35481.34
792727	*
846498	*
869139	6309.57
819777	19952.62
1026594	7943.28
768627	3548.13
826918	*
1034204	*
868154	1584.89
985772	12589.25
858766	1000.0
835244	1000.0
897154	*
794445	*
746236	12589.25
365464	15848.93
954497	794.33
1001570	3981.07
675187	39810.72
957736	17782.79
787890	*
1120676	*
780280	25118.86
799224	*
1012341	*
903651	10000.0
33920	15848.93
994601	*
873234	25118.86
749414	4466.84
835322	3162.28
761609	794.33
847134	12589.25
735345	14125.38
772931	39810.72
1105208	17782.79
913147	14125.38
730162	10000.0
900314	5011.87
1678855	10000.0
1017314	15848.93
989244	19952.62
776072	15848.93
755456	112.2
664111	15848.93
880898	35481.34
1687109	*
1121070	*
1697805	3981.07
1098764	17782.79
1018872	*
608732	12589.25
894462	5623.41
983979	31622.78
878739	1584.89
914152	12589.25
421000	*
788743	12589.25
869868	15848.93
743488	*
464024	*
972843	8912.51
861925	*
860528	15848.93
857823	*
741047	15848.93
988237	*
757329	2511.89
793874	*
949427	*
867743	*
1082468	*
913621	*
803574	*
875652	*
917735	3162.28
812237	8912.51
742708	*
793577	10000.0
785861	*
1682780	*
790621	15848.93
846609	*
1018116	*
962436	*
743310	7079.46
726933	28183.83
1096916	14125.38
1120977	*
952031	*
870396	*
837810	*
834688	*
1032755	7943.28
1028162	*
806695	*
792554	14125.38
978987	15848.93
996123	6309.57
997990	501.19
771274	*
834283	*
813687	1000.0
907216	1000.0
936328	25118.86
876986	1995.26
987074	12589.25
1685021	5011.87
19316	*
1294996	7079.46
405746	63095.73
794574	22387.21
1001121	*
798747	3162.28
781696	*
800634	*
641437	*
963781	3981.07
785963	*
449672	*
949052	*
1037152	1000.0
1030750	10000.0
1086975	25118.86
705684	7943.28
1017473	12589.25
894680	1584.89
1014622	7943.28
980445	28183.83
12872	39810.72
1011727	28183.83
780230	*
1010568	6309.57
838550	14125.38
821884	*
977238	*
461056	630.96
1703555	*
837715	5011.87
811263	22387.21
1019527	*
1025886	3548.13
84516	*
753344	*
759501	*
1120838	17782.79
842304	3981.07
753811	12589.25
859172	1258.93
935170	1258.93
796290	*
1017970	10000.0
1019813	25118.86
1688246	15848.93
861858	*
839064	794.33
1089395	*
1025473	17782.79
1016866	1995.26
860896	3162.28
1120484	*
820605	3162.28
739466	*
1700697	*
1036658	8912.51
175077	*
851456	*
78891	39810.72
557044	*
789818	*
873705	12589.25
759463	14125.38
693373	*
937276	5011.87
1006667	3548.13
819299	12589.25
1009604	*
210711	*
1120425	*
930817	*
317540	*
1120409	17782.79
1120763	*
914753	3981.07
820667	*
988345	*
765611	*
846356	1995.26
922467	*
755772	*
868516	*
1026770	*
778146	12589.25
820499	15848.93
522894	31622.78
748062	*
28331	*
199411	*
756580	*
65402	12589.25
772269	17782.79
912917	*
747050	25118.86
1017485	1258.93
1684133	28183.83
1684734	1258.93
828306	*
1120243	*
377583	*
954153	*
914768	7943.28
769288	*
1679949	15848.93
1682339	35481.34
1687656	14125.38
778165	1584.89
965603	*
860745	*
755797	1000.0
881274	25118.86
944130	*
1022938	*
939802	31622.78
918365	6309.57
732270	10000.0
1634410	14125.38
938156	15848.93
1699291	4466.84
830895	*
948012	11220.18
884998	*
778029	*
864393	10000.0
763094	*
741118	*
1000148	5623.41
897215	15848.93
1681622	15848.93
1121102	*
1026069	*
880348	19952.62
742145	10000.0
1678645	10000.0
752827	5011.87
997416	3162.28
946401	25118.86
1029218	11220.18
781380	15848.93
909749	19952.62
819046	25118.86
761408	17782.79
982019	15848.93
821059	3981.07
1015216	3162.28
1026664	3981.07
882193	14125.38
909171	14125.38
962763	25118.86
914270	1584.89
861616	3981.07
915850	2511.89
460844	251.19
141088	7943.28
872610	1995.26
1011660	19952.62
1009693	15848.93
915224	12589.25
762160	794.33
421116	2511.89
8270	1584.89
938141	5011.87
919279	3162.28
852166	31622.78
812962	31622.78
740221	5011.87
864923	7943.28
869357	12589.25
827677	7943.28
1679863	10000.0
910814	12589.25
912874	3981.07
1687318	3548.13
781560	7943.28
888255	25118.86
1015641	3981.07
871371	5011.87
968578	12589.25
904157	28183.83
785615	12589.25
741284	12589.25
941819	3162.28
747067	2238.72
744788	630.96
827776	2511.89
837408	15848.93
991995	1258.93
764422	398.11
175857	10000.0
867851	14125.38
101048	12589.25
740285	3981.07
834336	15848.93
938703	15848.93
907169	3162.28
1006354	15848.93
877426	19952.62
862573	3981.07
924905	14125.38
864751	891.25
859792	1995.26
836054	4466.84
459217	316.23
950532	10000.0
875941	12589.25
1685864	14125.38
962495	14125.38
111468	*
865020	25118.86
896983	630.96
